model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,marka,tax(£),fuel type,engine size,mileage2,fuel type2,engine size2,reference
 2 Series,2017.0,11990,Manual,22000,Petrol,145.0,52.3,1.5,bmw,,,,,,,
 I20,2020.0,12995,Manual,3000,Petrol,,46.3,1.2,hyundi,145.0,,,,,,
 Aygo,2017.0,7295,Manual,32000,Petrol,150.0,68.9,1.0,toyota,,,,,,,
 Focus,2017.0,10999,Manual,25331,Petrol,,,1.0,focus,,,,,,,
 Corsa,2018.0,7590,Manual,16002,Petrol,145.0,55.4,1.4,vauxhall,,,,,,,
 4 Series,2019.0,28295,Semi-Auto,8235,Petrol,145.0,48.7,2.0,bmw,,,,,,,
 X2,2020.0,39991,Semi-Auto,700,Petrol,145.0,34.0,2.0,bmw,,,,,,,
 A Class,2019.0,22980,Semi-Auto,11464,Diesel,145.0,67.3,1.5,merc,,,,,,,
 Fiesta,2015.0,6999,Manual,34772,Petrol,125.0,54.3,1.2,ford,,,,,,,
 Superb,2019.0,25995,Automatic,611,Petrol,145.0,38.2,2.0,skoda,,,,,,,
 C Class,2013.0,11995,Automatic,40000,Diesel,145.0,53.3,2.1,merc,,,,,,,
 A4,2017.0,16380,Manual,38331,Diesel,20.0,68.9,2.0,audi,,,,,,,
 Q2,2020.0,27591,Semi-Auto,4455,Diesel,150.0,44.8,2.0,audi,,,,,,,
 I30,2018.0,9998,Manual,12130,Petrol,,57.7,1.0,hyundi,145.0,,,,,,
 Kuga,2019.0,21200,Manual,5596,Petrol,145.0,35.3,1.5,ford,,,,,,,
 Astra,2017.0,12495,Semi-Auto,6000,Petrol,145.0,51.4,1.4,vauxhall,,,,,,,
 Kuga,2017.0,15250,Manual,46800,Diesel,150.0,54.3,2.0,ford,,,,,,,
 Fiesta,2017.0,10000,Manual,22000,Petrol,150.0,65.7,1.0,ford,,,,,,,
 2 Series,2017.0,17110,Semi-Auto,34032,Diesel,145.0,65.7,2.0,bmw,,,,,,,
 Polo,2017.0,10100,Manual,26000,Petrol,145.0,60.1,1.2,vw,,,,,,,
 Octavia,2018.0,12498,Manual,20955,Diesel,145.0,68.9,1.6,skoda,,,,,,,
 Octavia,2017.0,11700,Semi-Auto,27476,Diesel,0.0,74.3,1.6,skoda,,,,,,,
 5 Series,2016.0,14300,Automatic,67530,Diesel,30.0,62.8,2.0,bmw,,,,,,,
 A7,2017.0,25790,Automatic,40763,Diesel,160.0,52.3,3.0,audi,,,,,,,
 1 Series,2016.0,8495,Manual,83830,Diesel,20.0,72.4,1.5,bmw,,,,,,,
 Arteon,2019.0,26498,Manual,50,Diesel,145.0,52.3,2.0,vw,,,,,,,
 A4,2017.0,18390,Semi-Auto,54421,Diesel,30.0,61.4,2.0,audi,,,,,,,
 Polo,2018.0,13099,Manual,13239,Petrol,145.0,52.3,1.0,vw,,,,,,,
 Scirocco,2016.0,13495,Manual,42038,Diesel,30.0,53.3,2.0,vw,,,,,,,
 A3,2020.0,26500,Manual,1500,Diesel,145.0,55.4,2.0,audi,,,,,,,
 2 Series,2016.0,8500,Manual,94790,Diesel,0.0,74.3,1.5,bmw,,,,,,,
 GT86,2017.0,18250,Manual,20219,Petrol,145.0,36.2,2.0,toyota,,,,,,,
 Mokka X,2019.0,15995,Automatic,1000,Petrol,145.0,37.2,1.4,vauxhall,,,,,,,
 GLA Class,2017.0,19701,Semi-Auto,18000,Petrol,145.0,43.5,2.0,merc,,,,,,,
 A Class,2017.0,16999,Manual,17781,Petrol,145.0,49.6,1.6,merc,,,,,,,
 X2,2019.0,27988,Automatic,5599,Petrol,145.0,39.2,2.0,bmw,,,,,,,
 Astra,2011.0,3399,Manual,58000,Petrol,160.0,45.6,1.6,vauxhall,,,,,,,
 4 Series,2019.0,23775,Manual,8293,Diesel,145.0,62.8,2.0,bmw,,,,,,,
 Focus,2015.0,7991,Manual,40097,Petrol,20.0,61.4,1.0,ford,,,,,,,
 Focus,2018.0," £10,591",Manual,"22,656",,,,,unclean focus,,14,£150,60.1,Petrol,1,/ad/25463246
 Focus,2019.0,15310,Manual,11237,Petrol,145.0,60.1,1.0,ford,,,,,,,
 X3,2019.0,35000,Automatic,6847,Diesel,145.0,54.3,2.0,bmw,,,,,,,
 EcoSport,2018.0,14799,Manual,18772,Petrol,145.0,54.3,1.0,ford,,,,,,,
 Insignia,2018.0,12140,Automatic,38039,Diesel,145.0,55.4,1.6,vauxhall,,,,,,,
 Yaris,2013.0,5499,Manual,53000,Petrol,125.0,51.4,1.3,toyota,,,,,,,
 Focus,2013.0,6500,Manual,57029,Petrol,,,1.0,focus,,,,,,,
 Arteon,2019.0,24780,Automatic,50,Petrol,145.0,40.4,1.5,vw,,,,,,,
 TT,2016.0,17500,Manual,19542,Diesel,30.0,62.8,2.0,audi,,,,,,,
 C Class,2019.0," £28,896",Automatic,"6,765",,,,,unclean cclass,,,£145,61.4,Diesel,2,/ad/25254288
 C Class,2016.0," £15,999",Automatic,"59,211",,,,,unclean cclass,,,£0,134.5,Hybrid,2,/ad/25024395
 Grandland X,2018.0,15795,Manual,21897,Petrol,145.0,52.3,1.2,vauxhall,,,,,,,
 Crossland X,2019.0,11799,Manual,5396,Petrol,145.0,47.1,1.2,vauxhall,,,,,,,
 Focus,2019.0,17699,Manual,5443,Petrol,145.0,60.1,1.0,ford,,,,,,,
 Up,2018.0,10495,Semi-Auto,12004,Petrol,150.0,68.9,1.0,vw,,,,,,,
 Kuga,2018.0,19333,Semi-Auto,13940,Diesel,145.0,58.9,1.5,ford,,,,,,,
 Citigo,2016.0,6950,Manual,21335,Petrol,20.0,62.8,1.0,skoda,,,,,,,
 Polo,2017.0,9183,Manual,30801,Petrol,20.0,60.1,1.2,vw,,,,,,,
 C Class,2015.0,15789,Semi-Auto,42164,Diesel,30.0,64.2,2.1,merc,,,,,,,
 X1,2017.0,19085,Automatic,36983,Diesel,145.0,57.6,2.0,bmw,,,,,,,
 C Class,2016.0,18745,Automatic,26344,Diesel,,,2.1,cclass,,,,,,,
 Kuga,2017.0,15999,Manual,19660,Diesel,145.0,60.1,2.0,ford,,,,,,,
 Corsa,2017.0,8399,Manual,17956,Petrol,150.0,57.7,1.0,vauxhall,,,,,,,
 A4,2017.0,17175,Manual,37424,Diesel,20.0,68.9,2.0,audi,,,,,,,
 SL CLASS,2017.0,18250,Semi-Auto,30266,Diesel,30.0,70.6,2.1,merc,,,,,,,
 I20,2017.0,7998,Manual,19583,Petrol,,55.4,1.2,hyundi,30.0,,,,,,
 Auris,2016.0,9495,Manual,29641,Diesel,0.0,80.7,1.4,toyota,,,,,,,
 1 Series,2016.0,15722,Semi-Auto,14871,Diesel,20.0,67.3,2.0,bmw,,,,,,,
 Astra,2015.0,6000,Manual,62975,Petrol,200.0,43.5,1.6,vauxhall,,,,,,,
 E Class,2017.0,20472,Automatic,32183,Diesel,145.0,72.4,2.0,merc,,,,,,,
 Mokka X,2017.0,10249,Manual,28500,Petrol,150.0,42.2,1.6,vauxhall,,,,,,,
 Focus,2018.0,17750,Automatic,11321,Diesel,145.0,67.3,1.5,ford,,,,,,,
 Mokka X,2018.0,14495,Manual,15963,Diesel,145.0,60.1,1.6,vauxhall,,,,,,,
 3 Series,2020.0,32450,Semi-Auto,104,Petrol,150.0,40.4,2.0,bmw,,,,,,,
 Galaxy,2016.0,14499,Manual,32792,Diesel,125.0,56.5,2.0,ford,,,,,,,
 Yaris,2016.0,8998,Manual,16197,Petrol,30.0,58.0,1.3,toyota,,,,,,,
 Grandland X,2018.0,14499,Manual,14236,Diesel,145.0,70.6,1.6,vauxhall,,,,,,,
 C Class,2019.0," £23,295",Semi-Auto,"15,312",,,,,unclean cclass,,,£145,61.4,Diesel,2,/ad/25278570
 Focus,2019.0,14090,Manual,11536,Petrol,,,1.0,focus,,,,,,,
 Aygo,2017.0,8390,Manual,10575,Petrol,145.0,68.9,1.0,toyota,,,,,,,
 Yaris,2017.0,9695,Manual,16058,Petrol,150.0,58.9,1.5,toyota,,,,,,,
 Polo,2018.0,11450,Manual,24723,Petrol,150.0,64.2,1.0,vw,,,,,,,
 Ioniq,2019.0,23991,Automatic,5500,Hybrid,,78.5,1.6,hyundi,135.0,,,,,,
 Focus,2019.0," £18,000",Manual,"9,520",,,,,unclean focus,,,£145,46.3,Petrol,1.5,/ad/25207516
 Corsa,2019.0,9495,Manual,6296,Petrol,145.0,43.5,1.4,vauxhall,,,,,,,
 Focus,2016.0,11200,Manual,38635,Petrol,0.0,74.3,1.5,ford,,,,,,,
 I800,2019.0,20998,Manual,2573,Diesel,,31.7,2.5,hyundi,145.0,,,,,,
 EcoSport,2019.0,14771,Manual,8657,Petrol,145.0,54.3,1.0,ford,,,,,,,
 Fiesta,2016.0,7290,Manual,54277,Petrol,0.0,65.7,1.0,ford,,,,,,,
 I30,2016.0,8595,Manual,44534,Diesel,,78.4,1.6,hyundi,0.0,,,,,,
 C Class,2019.0,36999,Semi-Auto,1000,Diesel,145.0,55.4,2.0,merc,,,,,,,
 GLA Class,2017.0,22750,Automatic,11837,Diesel,125.0,56.5,2.1,merc,,,,,,,
 Polo,2015.0,6995,Manual,57323,Petrol,20.0,60.1,1.2,vw,,,,,,,
 A5,2016.0,15995,Manual,32000,Diesel,125.0,60.1,2.0,audi,,,,,,,
 Aygo,2017.0,7495,Manual,20253,Petrol,145.0,68.9,1.0,toyota,,,,,,,
 C Class,2015.0,11500,Manual,84830,Petrol,,,2.0,cclass,,,,,,,
 Yeti Outdoor,2017.0,13495,Semi-Auto,6045,Petrol,125.0,51.4,1.2,skoda,,,,,,,
 Fabia,2016.0,8298,Manual,53342,Petrol,20.0,58.9,1.2,skoda,,,,,,,
 Citigo,2016.0,5999,Manual,21747,Petrol,20.0,62.8,1.0,skoda,,,,,,,
 Viva,2018.0,6990,Manual,10430,Petrol,145.0,61.4,1.0,vauxhall,,,,,,,
 Octavia,2016.0,15000,Manual,26779,Diesel,30.0,64.2,2.0,skoda,,,,,,,
 M2,2018.0,39995,Semi-Auto,6120,Petrol,150.0,29.1,3.0,bmw,,,,,,,
 Kuga,2018.0,21999,Semi-Auto,13082,Diesel,145.0,54.3,2.0,ford,,,,,,,
 Up,2014.0,3495,Manual,80324,Petrol,20.0,62.8,1.0,vw,,,,,,,
 Fabia,2019.0,13995,Manual,3891,Petrol,145.0,61.4,1.0,skoda,,,,,,,
 4 Series,2020.0,39225,Semi-Auto,10,Petrol,145.0,48.7,2.0,bmw,,,,,,,
 S-MAX,2017.0,21500,Automatic,16000,Petrol,260.0,35.8,2.0,ford,,,,,,,
 C Class,2019.0," £25,799",Automatic,"1,649",,,,,unclean cclass,,,£145,44.1,Petrol,1.5,/ad/25273264
 Superb,2019.0,22990,Semi-Auto,18227,Petrol,145.0,39.8,1.5,skoda,,,,,,,
 Superb,2019.0,14980,Manual,38100,Diesel,145.0,64.2,2.0,skoda,,,,,,,
 C Class,2019.0," £20,999",Semi-Auto,"13,070",,,,,unclean cclass,,,£145,61.4,Diesel,2,/ad/25345895
 I10,2016.0,5990,Manual,23315,Petrol,,60.1,1.0,hyundi,20.0,,,,,,
 Corsa,2017.0,6491,Manual,33799,Petrol,145.0,55.4,1.4,vauxhall,,,,,,,
 Focus,2017.0," £11,450",Manual,"23,319",,,,,unclean focus,,,£145,60.1,Petrol,1,/ad/25232902
 5 Series,2016.0,18759,Automatic,10098,Diesel,125.0,60.1,2.0,bmw,,,,,,,
 A4,2017.0,17490,Manual,35000,Petrol,125.0,49.6,2.0,audi,,,,,,,
 Golf SV,2019.0,18876,Semi-Auto,3679,Petrol,145.0,43.5,1.0,vw,,,,,,,
 C Class,2019.0," £26,490",Automatic,"14,696",,,,,unclean cclass,,,£145,56.5,Diesel,2,/ad/25073903
 Octavia,2019.0,14998,Semi-Auto,15425,Diesel,145.0,70.6,1.6,skoda,,,,,,,
 Golf,2013.0,6998,Manual,52682,Petrol,30.0,57.6,1.2,vw,,,,,,,
 Polo,2017.0,11000,Manual,11619,Petrol,145.0,60.1,1.0,vw,,,,,,,
 Aygo,2017.0,7800,Manual,23000,Petrol,150.0,68.9,1.0,toyota,,,,,,,
 Kuga,2018.0,14995,Manual,27750,Petrol,145.0,45.6,1.5,ford,,,,,,,
 Focus,2019.0," £16,345",Manual,,,,,,unclean focus,,Petrol,1,"9,068",,,/ad/25149674
 Citigo,2013.0,3995,Manual,43000,Petrol,20.0,62.8,1.0,skoda,,,,,,,
 Golf,2016.0,13998,Semi-Auto,13250,Petrol,30.0,53.3,1.4,vw,,,,,,,
 X1,2016.0,21200,Automatic,6341,Petrol,160.0,44.8,2.0,bmw,,,,,,,
 Focus,2019.0," £15,240",Manual,"13,206",,,,,unclean focus,,,£150,80.7,Diesel,1.5,/ad/25458950
 C Class,2017.0,19750,Semi-Auto,27959,Petrol,,,2.0,cclass,,,,,,,
 Aygo,2019.0,9995,Manual,2541,Petrol,145.0,57.7,1.0,toyota,,,,,,,
 A6,2016.0,11499,Manual,87234,Diesel,30.0,61.4,2.0,audi,,,,,,,
 Focus,2008.0," £2,375",Manual,"89,000",,,,,unclean focus,,10,£205,42.2,Petrol,1.6,/ad/25454581
 Mokka,2016.0,6895,Manual,90000,Diesel,30.0,65.7,1.6,vauxhall,,,,,,,
 Passat,2019.0,19995,Manual,13299,Petrol,145.0,44.1,1.5,vw,,,,,,,
 Golf,2019.0,16995,Manual,5000,Petrol,145.0,49.6,1.0,vw,,,,,,,
 Grandland X,2018.0,15000,Manual,17500,Petrol,145.0,55.4,1.2,vauxhall,,,,,,,
 Aygo,2016.0,6995,Manual,25000,Petrol,0.0,69.0,1.0,toyota,,,,,,,
 Golf,2018.0,15490,Manual,9782,Diesel,145.0,61.4,1.6,vw,,,,,,,
 Insignia,2017.0,13199,Manual,14557,Diesel,145.0,54.3,2.0,vauxhall,,,,,,,
 C Class,2015.0,14000,Automatic,70857,Diesel,,,2.1,cclass,,,,,,,
 3 Series,2019.0,31990,Automatic,5,Petrol,145.0,42.2,2.0,bmw,,,,,,,
 C Class,2020.0," £41,900",Automatic,"6,000",,,,,unclean cclass,,,£145,55.4,Diesel,1950,/ad/25120733
 Focus,2017.0,14960,Manual,23554,Petrol,,,2.0,focus,,,,,,,
 Citigo,2016.0,5650,Manual,34296,Petrol,0.0,67.3,1.0,skoda,,,,,,,
 E Class,2018.0,21899,Automatic,22985,Diesel,145.0,65.7,2.0,merc,,,,,,,
 Auris,2016.0,13850,Automatic,35041,Hybrid,0.0,78.5,1.8,toyota,,,,,,,
 Q3,2017.0,25352,Semi-Auto,7957,Petrol,200.0,40.4,2.0,audi,,,,,,,
 Corsa,2017.0,4990,Manual,75000,Petrol,30.0,55.4,1.4,vauxhall,,,,,,,
 I30,2019.0,27800,Manual,1,Petrol,,34.0,2.0,hyundi,145.0,,,,,,
 Fiesta,2018.0,13100,Manual,11581,Petrol,145.0,55.4,1.0,ford,,,,,,,
 A4,2017.0,18298,Manual,20637,Diesel,30.0,67.3,2.0,audi,,,,,,,
 A3,2019.0,19196,Automatic,2550,Diesel,145.0,54.3,1.6,audi,,,,,,,
 C Class,2018.0," £39,249",Automatic,"7,297",,,,,unclean cclass,,,£145,29.7,Petrol,3,/ad/25273226
 C Class,2017.0," £16,750",Automatic,"33,000",,,,,unclean cclass,,,£20,64.2,Diesel,2143,/ad/25381970
 Focus,2017.0,11998,Manual,14032,Diesel,150.0,74.3,1.5,ford,,,,,,,
 1 Series,2014.0,10985,Manual,42574,Diesel,30.0,64.2,2.0,bmw,,,,,,,
 Superb,2015.0,9000,Manual,97470,Diesel,20.0,68.9,2.0,skoda,,,,,,,
 Focus,2019.0,15295,Manual,13340,Petrol,,,1.0,focus,,,,,,,
 Fiesta,2018.0,11999,Manual,6150,Petrol,150.0,65.7,1.0,ford,,,,,,,
 Grand C-MAX,2011.0,6499,Manual,48718,Petrol,200.0,40.9,1.6,ford,,,,,,,
 Fiesta,2018.0,11200,Manual,7634,Petrol,145.0,65.7,1.0,ford,,,,,,,
 Focus,2019.0," £16,800",Automatic,"2,220",,,,,unclean focus,,,£145,67.3,Diesel,1499,/ad/25099220
 C Class,2019.0," £25,999",Semi-Auto,"14,344",,,,,unclean cclass,,,£145,61.4,Diesel,2,/ad/25272406
 Corsa,2018.0,8798,Manual,10676,Petrol,145.0,55.4,1.4,vauxhall,,,,,,,
 Corsa,2015.0,6400,Manual,34341,Petrol,125.0,54.3,1.4,vauxhall,,,,,,,
 Tiguan,2016.0,15300,Manual,38398,Diesel,145.0,53.3,0.0,vw,,,,,,,
 1 Series,2017.0,15672,Manual,20327,Petrol,125.0,52.3,1.5,bmw,,,,,,,
 Focus,2019.0,19000,Automatic,12859,Petrol,,,1.0,focus,,,,,,,
 Golf,2013.0,11990,Manual,28500,Petrol,30.0,58.9,1.4,vw,,,,,,,
 Focus,2016.0," £11,995",Automatic,"12,320",,,,,unclean focus,,12,£125,51.4,Petrol,1,/ad/25031908
 C Class,2018.0,18500,Automatic,24277,Diesel,145.0,61.4,2.1,merc,,,,,,,
 E Class,2019.0,33899,Semi-Auto,5698,Diesel,145.0,57.7,2.0,merc,,,,,,,
 I10,2017.0,6991,Manual,23768,Petrol,,60.1,1.0,hyundi,145.0,,,,,,
 C-MAX,2019.0,13998,Manual,4087,Petrol,145.0,50.4,1.0,ford,,,,,,,
 T-Roc,2019.0,23690,Semi-Auto,4281,Diesel,150.0,49.6,2.0,vw,,,,,,,
 Polo,2017.0,11295,Manual,23500,Petrol,150.0,60.1,1.2,vw,,,,,,,
 Kuga,2017.0,13298,Manual,16400,Petrol,165.0,45.6,1.5,ford,,,,,,,
 X5,2014.0,27995,Automatic,43946,Diesel,265.0,42.2,3.0,bmw,,,,,,,
 Aygo,2017.0,8890,Semi-Auto,22384,Petrol,0.0,67.3,1.0,toyota,,,,,,,
 Yaris,2017.0,8790,Manual,43859,Petrol,145.0,58.9,1.5,toyota,,,,,,,
 Yeti Outdoor,2017.0,14495,Semi-Auto,9919,Petrol,125.0,51.4,1.2,skoda,,,,,,,
 C Class,2018.0,18265,Semi-Auto,16974,Diesel,,,2.1,cclass,,,,,,,
 C Class,2017.0,45480,Semi-Auto,11018,Petrol,145.0,32.8,4.0,merc,,,,,,,
 RAV4,2019.0,32495,Automatic,12740,Hybrid,135.0,49.6,2.5,toyota,,,,,,,
,,,,,,,,,unclean focus,,,,,,,
 GT86,2013.0,10495,Manual,72000,Petrol,265.0,36.2,2.0,toyota,,,,,,,
 Mokka X,2017.0,10297,Manual,20315,Diesel,30.0,65.7,1.6,vauxhall,,,,,,,
 Tiguan,2017.0,16921,Manual,35542,Diesel,160.0,50.4,2.0,vw,,,,,,,
 Focus,2017.0,9800,Manual,24500,Petrol,20.0,60.1,1.0,ford,,,,,,,
 Fiesta,2018.0,9950,Manual,9649,Petrol,145.0,64.2,1.1,ford,,,,,,,
 C Class,2015.0,13999,Automatic,79779,Hybrid,,,2.0,cclass,,,,,,,
 Polo,2014.0,7990,Manual,23500,Petrol,20.0,60.1,1.0,vw,,,,,,,
 Corsa,2016.0,7558,Manual,33137,Petrol,30.0,55.4,1.4,vauxhall,,,,,,,
 A Class,2017.0,16500,Manual,27000,Petrol,125.0,51.4,1.6,merc,,,,,,,
 Fabia,2019.0,13850,Manual,4814,Petrol,150.0,60.1,1.0,skoda,,,,,,,
 A Class,2019.0,18999,Semi-Auto,7800,Diesel,145.0,68.9,1.5,merc,,,,,,,
 Q5,2020.0,52990,Semi-Auto,6000,Diesel,145.0,34.5,3.0,audi,,,,,,,
 Mokka X,2019.0,14499,Manual,8911,Petrol,145.0,39.2,1.4,vauxhall,,,,,,,
 X1,2019.0,21480,Semi-Auto,7970,Petrol,145.0,46.3,1.5,bmw,,,,,,,
 Mokka X,2017.0,12998,Manual,15844,Petrol,145.0,47.1,1.4,vauxhall,,,,,,,
 Fiesta,2016.0,10199,Manual,18010,Petrol,0.0,65.7,1.0,ford,,,,,,,
 Rapid,2018.0,11495,Semi-Auto,2736,Petrol,150.0,61.4,1.0,skoda,,,,,,,
 Superb,2019.0,18895,Manual,4806,Petrol,145.0,40.9,1.5,skoda,,,,,,,
 CL Class,2019.0,26299,Automatic,8638,Petrol,145.0,38.2,2.0,merc,,,,,,,
 Focus,2018.0,13498,Manual,10150,Petrol,,,1.0,focus,,,,,,,
 A Class,2019.0,20998,Semi-Auto,18881,Diesel,145.0,67.3,1.5,merc,,,,,,,
 Aygo,2018.0,8500,Manual,2300,Petrol,145.0,56.5,1.0,toyota,,,,,,,
 Golf,2018.0,13500,Semi-Auto,34975,Diesel,145.0,72.4,1.6,vw,,,,,,,
 Q5,2015.0,18499,Manual,26153,Diesel,200.0,47.9,2.0,audi,,,,,,,
 S Class,2013.0,24530,Automatic,56061,Hybrid,190.0,44.8,3.5,merc,,,,,,,
 C Class,2018.0,27299,Semi-Auto,3150,Diesel,,,2.0,cclass,,,,,,,
 Fiesta,2019.0,14499,Manual,10969,Petrol,145.0,55.4,1.0,ford,,,,,,,
 C Class,2019.0,29495,Automatic,4999,Diesel,,,2.0,cclass,,,,,,,
 Focus,2018.0,15500,Manual,10286,Petrol,,,1.0,focus,,,,,,,
 E Class,2019.0,38995,Automatic,2400,Hybrid,135.0,188.3,2.0,merc,,,,,,,
 Z3,2002.0,14995,Automatic,16500,Petrol,325.0,29.4,2.2,bmw,,,,,,,
 Scirocco,2016.0,14490,Manual,39184,Diesel,20.0,55.4,2.0,vw,,,,,,,
 Focus,2019.0,20905,Automatic,1904,Diesel,,,1.5,focus,,,,,,,
 A Class,2020.0,24260,Semi-Auto,5501,Diesel,145.0,56.5,2.0,merc,,,,,,,
 E Class,2020.0,35480,Semi-Auto,1989,Diesel,145.0,42.8,2.0,merc,,,,,,,
 Corsa,2015.0,5500,Manual,37295,Petrol,125.0,53.3,1.2,vauxhall,,,,,,,
 I30,2018.0,9017,Manual,30287,Petrol,,56.5,1.0,hyundi,145.0,,,,,,
 C Class,2019.0," £24,995",Automatic,"11,664",,,,,unclean cclass,,,£145,47.1,Petrol,1.5,/ad/25415130
 Q2,2019.0,23500,Automatic,4573,Petrol,145.0,40.9,1.5,audi,,,,,,,
 Focus,2018.0,14250,Manual,11591,Petrol,,,1.0,focus,,,,,,,
 Focus,2018.0,13567,Manual,7756,Diesel,145.0,74.3,1.5,ford,,,,,,,
 1 Series,2016.0,12700,Manual,14634,Petrol,125.0,53.3,1.5,bmw,,,,,,,
 Prius,2017.0,20100,Automatic,30687,Hybrid,0.0,94.1,1.8,toyota,,,,,,,
 Avensis,2012.0,8134,Manual,23509,Petrol,200.0,43.5,1.8,toyota,,,,,,,
 Galaxy,2017.0,19000,Semi-Auto,36708,Diesel,145.0,52.3,2.0,ford,,,,,,,
 Golf,2013.0,6375,Manual,90000,Diesel,0.0,68.9,1.6,vw,,,,,,,
 Aygo,2015.0,6249,Manual,18040,Petrol,0.0,69.0,1.0,toyota,,,,,,,
 Insignia,2015.0,8210,Manual,42042,Diesel,20.0,72.4,1.6,vauxhall,,,,,,,
 Focus,2016.0,10498,Manual,17685,Diesel,,,1.5,focus,,,,,,,
 Touareg,2019.0,43499,Automatic,12933,Diesel,145.0,34.0,3.0,vw,,,,,,,
 Zafira,2017.0,12250,Manual,11202,Petrol,200.0,42.2,1.4,vauxhall,,,,,,,
 Focus,2016.0,17499,Manual,17663,Petrol,200.0,41.5,2.0,ford,,,,,,,
 Q2,2019.0,20746,Manual,100,Diesel,145.0,49.6,1.6,audi,,,,,,,
 Polo,2019.0,19490,Semi-Auto,4999,Petrol,145.0,47.9,2.0,vw,,,,,,,
 Focus,2019.0,20390,Automatic,6644,Diesel,,,2.0,focus,,,,,,,
 5 Series,2019.0,35810,Automatic,123,Petrol,145.0,48.7,2.0,bmw,,,,,,,
 GLC Class,2016.0,20998,Semi-Auto,36240,Diesel,125.0,56.5,2.1,merc,,,,,,,
 Focus,2018.0," £11,500",Manual,"8,286",,,,,unclean focus,,,£150,60.1,Petrol,1,/ad/25453781
 3 Series,2018.0,21495,Semi-Auto,16452,Petrol,150.0,48.7,2.0,bmw,,,,,,,
 I10,2018.0,8679,Manual,18000,Petrol,,57.7,1.2,hyundi,145.0,,,,,,
 Focus,2019.0,16998,Manual,18274,Petrol,,,1.0,focus,,,,,,,
 4 Series,2020.0,32995,Semi-Auto,10,Diesel,145.0,50.4,3.0,bmw,,,,,,,
 GLA Class,2018.0,25301,Semi-Auto,6361,Diesel,145.0,56.5,2.1,merc,,,,,,,
 A6,2019.0,43695,Automatic,1500,Diesel,145.0,36.2,3.0,audi,,,,,,,
 A1,2019.0,21000,Semi-Auto,9000,Petrol,145.0,44.8,1.5,audi,,,,,,,
 C-MAX,2017.0,11499,Manual,18386,Petrol,30.0,55.4,1.0,ford,,,,,,,
 Fiesta,2015.0,10150,Manual,12317,Petrol,0.0,65.7,1.0,ford,,,,,,,
 Golf,2016.0,17998,Semi-Auto,6636,Diesel,30.0,62.8,2.0,vw,,,,,,,
 Fiesta,2017.0,8980,Manual,29674,Petrol,0.0,65.7,1.0,ford,,,,,,,
 Fabia,2016.0,9950,Automatic,42000,Petrol,20.0,60.1,1.2,skoda,,,,,,,
 Golf,2019.0,28800,Semi-Auto,6882,Petrol,150.0,32.8,2.0,vw,,,,,,,
 Golf,2019.0,12383,Manual,13610,Petrol,145.0,49.6,1.0,vw,,,,,,,
 Octavia,2017.0,13695,Semi-Auto,16728,Petrol,145.0,56.5,1.4,skoda,,,,,,,
 E Class,2017.0,24900,Automatic,17736,Diesel,145.0,58.9,2.0,merc,,,,,,,
 Focus,2019.0,17790,Manual,5920,Petrol,145.0,60.1,1.0,ford,,,,,,,
 Corsa,2019.0,9990,Manual,100,Petrol,145.0,43.5,1.4,vauxhall,,,,,,,
 Focus,2017.0," £10,500",Manual,"19,086",,,,,unclean focus,,11,£20,61.4,Petrol,1,/ad/25477113
 Q2,2017.0,20671,Semi-Auto,22791,Petrol,145.0,52.3,1.4,audi,,,,,,,
 Golf,2017.0,19895,Manual,18714,Diesel,145.0,60.1,2.0,vw,,,,,,,
 Kuga,2018.0,14750,Manual,22984,Diesel,145.0,64.2,1.5,ford,,,,,,,
 Focus,2016.0," £9,499",Manual,"35,529",,,,,unclean focus,,,£20,60.1,Petrol,1,/ad/25437102
 Corsa,2013.0,4195,Manual,39338,Petrol,30.0,55.4,1.0,vauxhall,,,,,,,
 Tiguan,2017.0,16995,Manual,46591,Diesel,150.0,58.9,2.0,vw,,,,,,,
 A4,2018.0,21395,Semi-Auto,11548,Petrol,145.0,50.4,2.0,audi,,,,,,,
 CC,2014.0,9999,Automatic,61063,Diesel,145.0,53.3,2.0,vw,,,,,,,
 C Class,2019.0,25495,Semi-Auto,12382,Petrol,,,1.5,cclass,,,,,,,
 Amarok,2019.0,36990,Automatic,200,Diesel,260.0,28.3,3.0,vw,,,,,,,
 C Class,2017.0,15990,Automatic,49000,Diesel,145.0,61.4,2.1,merc,,,,,,,
 Q5,2015.0,22797,Semi-Auto,39378,Diesel,265.0,41.5,3.0,audi,,,,,,,
 Golf,2015.0,13990,Manual,41495,Diesel,20.0,67.3,2.0,vw,,,,,,,
 C Class,2019.0,25399,Semi-Auto,3585,Petrol,,,1.5,cclass,,,,,,,
 Focus,2019.0,16999,Manual,10000,Petrol,,,1.0,focus,,,,,,,
 Focus,2017.0,12369,Manual,17028,Petrol,145.0,57.7,1.0,ford,,,,,,,
 C Class,2019.0,23206,Automatic,9150,Diesel,,,2.0,cclass,,,,,,,
 Kamiq,2020.0,18499,Manual,2046,Petrol,145.0,47.1,1.5,skoda,,,,,,,
 A Class,2016.0,14990,Manual,31000,Diesel,30.0,62.8,2.1,merc,,,,,,,
 A8,2012.0,13437,Automatic,70894,Diesel,235.0,44.1,3.0,audi,,,,,,,
